date.time, tide
08/01/2012 2:29 AM, 0.79
08/01/2012 7:35 AM, 0.95
08/01/2012 2:31 PM, 0.08
08/01/2012 10:18 PM, 1.12
08/02/2012 3:16 AM, 0.76
08/02/2012 8:41 AM, 0.96
08/02/2012 3:17 PM, 0.12
08/02/2012 10:55 PM, 1.10
08/03/2012 4:02 AM, 0.72
08/03/2012 9:39 AM, 0.95
08/03/2012 4:02 PM, 0.20
08/03/2012 11:30 PM, 1.07
08/04/2012 4:49 AM, 0.68
08/04/2012 10:35 AM, 0.93
08/04/2012 4:44 PM, 0.29
08/05/2012 12:04 AM, 1.02
08/05/2012 5:38 AM, 0.64
08/05/2012 11:30 AM, 0.90
08/05/2012 5:26 PM, 0.40
08/06/2012 12:34 AM, 0.98
08/06/2012 6:32 AM, 0.59
08/06/2012 12:26 PM, 0.87
08/06/2012 6:10 PM, 0.50
08/07/2012 1:03 AM, 0.94
08/07/2012 7:29 AM, 0.55
08/07/2012 1:28 PM, 0.84
08/07/2012 7:01 PM, 0.60
08/08/2012 1:29 AM, 0.90
08/08/2012 8:26 AM, 0.51
08/08/2012 2:43 PM, 0.82
08/08/2012 8:14 PM, 0.69
08/09/2012 1:54 AM, 0.87
08/09/2012 9:21 AM, 0.47
08/09/2012 4:30 PM, 0.83
08/09/2012 9:42 PM, 0.74
08/10/2012 2:18 AM, 0.85
08/10/2012 10:12 AM, 0.42
08/10/2012 6:19 PM, 0.87
08/10/2012 10:53 PM, 0.77
08/11/2012 2:46 AM, 0.84
08/11/2012 10:59 AM, 0.37
08/11/2012 7:16 PM, 0.92
08/11/2012 11:47 PM, 0.79
08/12/2012 3:25 AM, 0.84
08/12/2012 11:43 AM, 0.33
08/12/2012 7:57 PM, 0.96
08/13/2012 12:29 AM, 0.79
08/13/2012 4:18 AM, 0.85
08/13/2012 12:25 PM, 0.28
08/13/2012 8:32 PM, 0.99
08/14/2012 1:05 AM, 0.78
08/14/2012 5:26 AM, 0.86
08/14/2012 1:04 PM, 0.25
08/14/2012 9:04 PM, 1.01
